video,method,Fail_Total,Fail_Div,Fail_Slip,Fail_Lock,Fail_Double,NIS_Mean,NIS_Pass,NIS_InBand,NIS_pval,Lambda_Mean,Lambda_LT1_Frac,Lambda_LowFrac,Coverage95,FreqStd_Mean,Stability_Sec,n_frames,data_file
cohface_34_0,of_farneback__robust_ossm_ukf,0.7728758169934641,0.0,0.0,0.7728758169934641,0.3349673202614379,0.15244113265514395,0.0,0.9411764705882353,8.125994675344359e-277,1.05594737457309,0.014705882352941176,0.0,99.91830065359477,0.26161464387714617,61.2,1224.0,data/cohface_34_0.pkl
cohface_34_0,profile1D linear,,,,,,,,,,,,,,,,,data/cohface_34_0.pkl
cohface_34_0,profile1d_linear__kfstd,,,,,,,,,,,,,,,61.2,,data/cohface_34_0.pkl
cohface_34_0,profile1d_linear__robust_ossm_ekf,0.9526143790849673,0.0,0.0,0.9526143790849673,0.0,0.0029738924742319325,0.0,0.46405228758169936,0.0,1.0664554741039047,0.0,0.0,100.0,0.45736079523584516,61.2,1224.0,data/cohface_34_0.pkl
cohface_34_0,profile1d_linear__robust_ossm_ukf,0.9526143790849673,0.0,0.007352941176470588,0.9526143790849673,0.0,0.07350522920639233,0.0,0.951797385620915,0.0,1.061477283854638,0.0,0.0,100.0,0.4576176349503971,61.2,1224.0,data/cohface_34_0.pkl
cohface_34_0,profile1D quadratic,,,,,,,,,,,,,,,,,data/cohface_34_0.pkl
cohface_34_0,profile1d_quadratic__kfstd,,,,,,,,,,,,,,,61.2,,data/cohface_34_0.pkl
cohface_34_0,profile1d_quadratic__robust_ossm_ekf,0.9526143790849673,0.0,0.0,0.9526143790849673,0.0,0.005102142100230938,0.0,0.4158496732026144,0.0,1.0663049508288411,0.0,0.0,100.0,0.45824784148489334,61.2,1224.0,data/cohface_34_0.pkl
cohface_34_0,profile1d_quadratic__robust_ossm_ukf,0.9526143790849673,0.0,0.006535947712418301,0.9526143790849673,0.0,0.07430394296168394,0.0,0.9534313725490197,0.0,1.06142160317634,0.0,0.0,100.0,0.45753087552945987,61.2,1224.0,data/cohface_34_0.pkl
cohface_34_0,profile1D cubic,,,,,,,,,,,,,,,,,data/cohface_34_0.pkl
cohface_34_0,profile1d_cubic__kfstd,,,,,,,,,,,,,,,61.2,,data/cohface_34_0.pkl
