video,method,CCC,MAE,RMSE,SNR_Time,Latency,DTW_Dist,IE_Err,PPI_MAE,gt_bpm_avg,est_bpm_avg,data_file
cohface_25_3,of_farneback__robust_ossm_ekf,0.73,0.59,0.75,2.6093786241550188,-1281.25,0.49518264217150737,0.9748263490622134,0.5415209790209774,,,data/cohface_25_3.pkl
cohface_25_3,DoF,0.35,0.95,1.17,-0.695123366298891,-12718.75,0.5316878158056846,0.7706947813021924,2.548136363636363,,,data/cohface_25_3.pkl
cohface_25_3,dof__kfstd,0.66,0.69,0.84,1.6580108825265678,-2531.25,0.47558430675202973,0.7817371962985739,0.05946969696969706,,,data/cohface_25_3.pkl
cohface_25_3,dof__robust_ossm_ekf,0.54,0.78,0.97,0.4509490060790095,2531.25,0.5293941238971147,0.7633976724796122,1.0683080808080803,,,data/cohface_25_3.pkl
cohface_25_3,profile1D linear,0.7,0.6,0.77,2.308836118584063,687.5,0.5593568319691732,0.1985531255131936,1.578914141414141,,,data/cohface_25_3.pkl
cohface_25_3,profile1d_linear__kfstd,0.83,0.48,0.59,4.708995160496366,-1343.75,0.41761616845325145,0.8816022367656026,0.01249999999999929,,,data/cohface_25_3.pkl
cohface_25_3,profile1d_linear__robust_ossm_ekf,0.73,0.6,0.73,2.755270982417914,-1250.0,0.44162213914760273,0.7268991773847974,1.0961363636363632,,,data/cohface_25_3.pkl
cohface_25_3,profile1D quadratic,0.73,0.6,0.74,2.7127745372835355,593.75,0.5095479386273795,0.23464670882678418,1.7437834224598925,,,data/cohface_25_3.pkl
cohface_25_3,profile1d_quadratic__kfstd,0.83,0.48,0.59,4.64720895408617,-1375.0,0.4188542924381354,0.7737395190534816,0.4261363636363642,,,data/cohface_25_3.pkl
cohface_25_3,profile1d_quadratic__robust_ossm_ekf,0.74,0.59,0.73,2.7761221245496444,-1343.75,0.4766357470370607,0.8101547459540658,0.7722902097902091,,,data/cohface_25_3.pkl
cohface_25_3,profile1D cubic,0.71,0.62,0.76,2.41134721200286,593.75,0.5196224428760996,0.25121920821356925,1.8066919191919184,,,data/cohface_25_3.pkl
cohface_25_3,profile1d_cubic__kfstd,0.82,0.5,0.61,4.354581257427568,-1375.0,0.42196481539467,0.8115554829948598,0.421969696969696,,,data/cohface_25_3.pkl
cohface_25_3,profile1d_cubic__robust_ossm_ekf,0.72,0.62,0.76,2.518792350530823,-1343.75,0.492194114721331,0.8066645236493509,1.072564935064935,,,data/cohface_25_3.pkl
cohface_29_0,of_farneback,0.8,0.52,0.63,4.004048173323414,625.0,0.47211513011919815,0.1405348614972209,0.2075222332015807,,,data/cohface_29_0.pkl
cohface_29_0,of_farneback__kfstd,0.87,0.41,0.51,5.976273722365965,-1281.25,0.4020477762365254,1.15505069741545,0.19447875494071276,,,data/cohface_29_0.pkl
cohface_29_0,of_farneback__robust_ossm_ekf,0.87,0.41,0.51,5.840363487576617,-1281.25,0.40921734577378716,1.1842723554923404,0.19447875494071187,,,data/cohface_29_0.pkl
cohface_29_0,DoF,0.58,0.63,0.92,0.7678321544175113,93.75,0.5618903529202173,0.7413067075950287,0.5504152097902093,,,data/cohface_29_0.pkl
cohface_29_0,dof__kfstd,0.84,0.42,0.56,5.074741173119941,31.25,0.3566531311825656,0.4409177517189494,0.02926136363636367,,,data/cohface_29_0.pkl
cohface_29_0,dof__robust_ossm_ekf,0.84,0.42,0.56,5.013891728590929,62.5,0.36925471254144915,0.37877656217561373,0.02926136363636278,,,data/cohface_29_0.pkl
cohface_29_0,profile1D linear,0.4,0.72,1.09,-0.7592833070622538,593.75,0.6510564686665739,0.08216298897791074,0.43726136363636314,,,data/cohface_29_0.pkl
cohface_29_0,profile1d_linear__kfstd,0.87,0.38,0.51,5.9526989287072425,-1406.25,0.3782403309244043,0.5837689175727431,0.002556818181818521,,,data/cohface_29_0.pkl
cohface_29_0,profile1d_linear__robust_ossm_ekf,0.82,0.45,0.61,4.389248043399768,-1375.0,0.41073976521031036,0.7116190805234898,0.3792613636363633,,,data/cohface_29_0.pkl
cohface_29_0,profile1D quadratic,0.81,0.5,0.62,4.243518369127183,593.75,0.4258961415403764,0.07082989363065062,0.36726136363636375,,,data/cohface_29_0.pkl
cohface_29_0,profile1d_quadratic__kfstd,0.92,0.33,0.41,7.844509099807567,-1437.5,0.3127528147206106,0.553286365920831,0.011647727272727337,,,data/cohface_29_0.pkl
