gt_freq_hz,gt_rr_bpm,snr_of_db,snr_OF_db,freq_mae_OF_base,freq_mae_OF_kfstd,freq_mae_OF_qrobf,snr_P1D-Cubic_db,freq_mae_P1D-Cubic_base,freq_mae_P1D-Cubic_kfstd,freq_mae_P1D-Cubic_qrobf,snr_P1D-Linear_db,freq_mae_P1D-Linear_base,freq_mae_P1D-Linear_kfstd,freq_mae_P1D-Linear_qrobf,snr_P1D-Quad_db,freq_mae_P1D-Quad_base,freq_mae_P1D-Quad_kfstd,freq_mae_P1D-Quad_qrobf,snr_DoF_db,freq_mae_DoF_base,freq_mae_DoF_kfstd,freq_mae_DoF_qrobf,trial_id,pkl_path,tier,tier_order,freq_mae_OF_base_eval,freq_mae_OF_kfstd_eval,freq_mae_OF_qrobf_eval,freq_mae_P1D-Cubic_base_eval,freq_mae_P1D-Cubic_kfstd_eval,freq_mae_P1D-Cubic_qrobf_eval,freq_mae_P1D-Linear_base_eval,freq_mae_P1D-Linear_kfstd_eval,freq_mae_P1D-Linear_qrobf_eval,freq_mae_P1D-Quad_base_eval,freq_mae_P1D-Quad_kfstd_eval,freq_mae_P1D-Quad_qrobf_eval,freq_mae_DoF_base_eval,freq_mae_DoF_kfstd_eval,freq_mae_DoF_qrobf_eval
0.2316442605997932,13.898655635987593,-4.0038462152074015,-4.0038462152074015,2.838709677419355,3.032258064516129,3.096774193548387,-0.537892082277378,0.5161290322580645,0.967741935483871,2.0,1.2607263494738363,0.1935483870967742,0.967741935483871,1.1612903225806452,-0.3448827117200565,0.1935483870967742,1.2258064516129032,1.3548387096774193,-7.980418036837069,6.387096774193548,2.5161290322580645,7.290322580645161,cohface_3_0,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/data/cohface_3_0.pkl,Very Poor,0,0.94,0.9,0.98,0.41,0.37,0.65,0.44,0.33,0.45,0.41,0.38,0.61,5.56,2.52,7.58
0.18144329896907216,10.88659793814433,-4.526771213893274,-4.526771213893274,5.290322580645161,0.9032258064516129,4.451612903225806,3.1229184848464673,0.25806451612903225,0.1935483870967742,0.25806451612903225,7.08166310279148,0.45161290322580644,0.5161290322580645,0.3870967741935484,3.3898361921912477,0.25806451612903225,0.1935483870967742,0.12903225806451613,-4.234044009277755,7.806451612903226,7.935483870967742,7.290322580645161,cohface_3_1,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/data/cohface_3_1.pkl,Very Poor,0,0.28,0.27,0.36,0.11,0.13,0.1,0.18,0.19,0.2,0.1,0.12,0.08,6.66,7.7,6.38
0.2975206611570248,17.85123966942149,-5.271196383357715,-5.271196383357715,1.935483870967742,1.6129032258064515,1.6129032258064515,-1.8632886178400403,0.967741935483871,0.7096774193548387,1.032258064516129,-0.8294726264887565,0.9032258064516129,0.7096774193548387,1.032258064516129,-1.5500400668604961,0.967741935483871,0.7096774193548387,1.2258064516129032,-2.549761031880959,5.096774193548387,2.3225806451612905,2.0,cohface_3_2,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/data/cohface_3_2.pkl,Very Poor,0,0.6,0.56,0.62,0.34,0.57,0.45,0.41,0.45,0.3,0.41,0.56,0.38,8.81,3.45,2.39
0.1985522233712513,11.91313340227508,-3.855981168517083,-3.855981168517083,2.193548387096774,2.193548387096774,2.193548387096774,0.8068519259952285,1.8064516129032258,2.193548387096774,2.129032258064516,2.9108131004108566,1.3548387096774193,2.064516129032258,2.0,1.0673148693510257,1.2903225806451613,1.8064516129032258,1.8064516129032258,-5.674009230519628,13.35483870967742,5.354838709677419,11.225806451612904,cohface_3_3,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/data/cohface_3_3.pkl,Very Poor,0,1.13,1.07,1.23,0.83,0.89,1.29,0.73,0.75,0.94,0.68,0.64,0.97,3.64,4.51,9.71
0.14385614385614387,8.631368631368632,-4.304373824643085,-4.304373824643085,9.93939393939394,3.878787878787879,9.757575757575758,-5.5680337272699045,6.0,5.575757575757576,5.878787878787879,-5.688597023490312,11.272727272727273,6.0,11.515151515151516,-5.62332434893059,6.0,5.575757575757576,4.0606060606060606,1.1567454086446347,3.3333333333333335,1.878787878787879,2.0,cohface_40_0,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/data/cohface_40_0.pkl,Very Poor,0,2.34,2.32,3.46,3.23,4.16,3.9,6.88,5.24,10.84,3.21,4.02,2.59,2.18,1.89,1.98
0.16210739614994935,9.72644376899696,-3.680604303478987,-3.680604303478987,9.8125,7.625,9.8125,-4.1012614633350095,12.0,8.5625,11.125,-4.478333327556526,14.4375,6.1875,11.9375,-4.084588487256022,10.875,8.5625,8.5625,0.6889535857594249,0.875,1.875,2.625,cohface_40_1,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/data/cohface_40_1.pkl,Very Poor,0,5.62,4.97,5.65,4.61,4.51,5.03,4.94,3.66,5.34,4.84,4.73,5.08,3.55,3.37,1.48
0.12903225806451613,7.741935483870968,-5.3830909675698315,-5.3830909675698315,5.03030303030303,1.7575757575757576,2.242424242424242,-9.9231411226386,6.424242424242424,2.606060606060606,5.151515151515151,-4.87893934542532,4.787878787878788,1.7575757575757576,2.121212121212121,-9.746254906713451,6.848484848484849,2.606060606060606,5.393939393939394,-0.5809381572577442,0.36363636363636365,2.1818181818181817,0.6060606060606061,cohface_40_2,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/data/cohface_40_2.pkl,Very Poor,0,2.23,1.45,1.68,5.98,4.18,6.38,1.63,2.44,2.28,5.95,4.22,6.57,0.54,2.53,0.81
0.14634146341463417,8.78048780487805,-6.3755314029711,-6.3755314029711,9.875,6.8125,7.0,-7.303343467608892,10.1875,6.75,7.875,-4.88164045777277,5.5625,6.0625,5.375,-7.229077214888045,9.6875,6.75,6.75,0.1755096096081328,1.4375,1.0625,1.375,cohface_40_3,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/data/cohface_40_3.pkl,Very Poor,0,7.12,6.8,7.05,8.73,6.85,8.16,3.9,5.26,4.35,8.75,6.86,8.9,1.23,0.47,1.93
0.21509824198552224,12.905894519131335,-3.5349284900383577,-3.5349284900383577,0.967741935483871,0.7096774193548387,0.7096774193548387,-1.7206642141638642,0.25806451612903225,0.45161290322580644,1.2258064516129032,-5.137110080086499,0.06451612903225806,0.06451612903225806,0.5161290322580645,-1.489313584399509,0.3870967741935484,0.45161290322580644,0.967741935483871,-4.9561884579422895,7.290322580645161,1.1612903225806452,2.774193548387097,cohface_4_1,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/data/cohface_4_1.pkl,Very Poor,0,0.35,0.34,0.32,0.26,0.31,0.32,0.11,0.25,0.1,0.26,0.31,0.28,4.94,1.47,2.36
0.23140495867768596,13.884297520661157,-8.919858610488943,-8.919858610488943,2.2580645161290325,1.8709677419354838,2.4516129032258065,0.8223485674624785,0.0,0.0,0.0,-9.412188500069451,1.6774193548387097,0.12903225806451613,0.3870967741935484,1.1705743540295002,0.0,0.0,0.0,-2.6944578051213846,5.741935483870968,3.6129032258064515,5.161290322580645,cohface_4_3,/home/gongjae/Projects/resPyre/results/cohface_robust_ossm/data/cohface_4_3.pkl,Very Poor,0,1.46,1.12,1.59,0.1,0.12,0.17,0.24,0.2,0.18,0.09,0.12,0.13,5.35,2.55,5.86
