schema_version,method,trial,n_frames,missing_frame_log,missing_reason,frame_log_filename_used,frame_log_resolution_mode,frame_log_suffix_used,welch_df_hz,q_vis_mean,q_vis_std,q_vis_nan_rate,q_drift_mean,q_cons_mean,q_out_mean,q_harm_mean,q_burst_rate,alpha_R_mean,alpha_Q_mean,g_t_mean,g_z_mean,w_h_mean,g_z_eff_mean,lambda_mean,lambda_lt1_frac,lambda_low_frac,qx_base_mean,qf_base_mean,rv_base_mean,qx_used_mean,qf_used_mean,rv_scaled_mean,R_post_mean,freq_low_clip_rate,freq_high_clip_rate,z_low_clip_rate,z_high_clip_rate,invalid_row_rate
method_quality.v1,of_farneback__robust_ossm_ekf,39_1,1228,False,,39_1_1.npz,manifest,1,0.25,0.8660771477720964,0.010003732395367757,0.0,0.27520184556701377,0.42663390605678175,0.31003143562827784,0.48552674259226797,0.0024429967426710096,1.0,1.522883506577326,1.0,1.0,1.0,1.0,1.0746162093561704,0.0008143322475570033,0.0,0.004581066047945774,0.003464239596238359,0.05410455994272139,0.006976429926957995,0.005275633343943494,0.05410455994272139,0.05035353554688392,0.0,0.0,0.0,0.0,0.0
method_quality.v1,dof__robust_ossm_ekf,39_1,1228,False,,39_1_1.npz,manifest,1,0.25,0.8660771477720964,0.010003732395367757,0.0,0.27520184556701377,0.1759531871726399,0.3087399995944639,0.2587356904829647,0.003257328990228013,1.5790872506064983,1.522883506577326,0.6399081295874426,0.5649371229839395,0.6103280304587524,0.3299183437530215,1.0719694842451033,0.015472312703583062,0.0,0.003305273350619893,0.0012509529184927708,1.5689886104383006,0.00503354627038861,0.001905055567077411,2.477569911089927,2.3148143769266483,0.0,0.0,0.0,0.0,0.0
method_quality.v1,profile1d_linear__robust_ossm_ekf,39_1,1228,False,,39_1_1.npz,manifest,1,0.25,0.8660771477720964,0.010003732395367757,0.0,0.27520184556701377,0.40196845304624,0.3531609399142151,0.4245737312730014,0.004885993485342019,1.0,1.522883506577326,1.0,1.0,1.0,1.0,1.0789114618969795,0.0,0.0,0.0031946083127457102,0.002703190446779587,1.9340133994055582,0.004865016309455263,0.004116644146538027,1.9340133994055582,1.7925984958217214,0.0,0.0,0.0,0.0,0.0
method_quality.v1,profile1d_quadratic__robust_ossm_ekf,39_1,1228,False,,39_1_1.npz,manifest,1,0.25,0.8660771477720964,0.010003732395367757,0.0,0.27520184556701377,0.391577231940437,0.3196207521854528,0.4836784414362971,0.0,1.0,1.522883506577326,1.0,1.0,1.0,1.0,1.0781226900099279,0.0,0.0,0.00333705504205627,0.0029066857743661016,2.0043256346787572,0.0050819460840881995,0.004426543824585079,2.0043256346787572,1.8591617661565805,0.0,0.0,0.0,0.0,0.0
method_quality.v1,profile1d_cubic__robust_ossm_ekf,39_1,1228,False,,39_1_1.npz,manifest,1,0.25,0.8660771477720964,0.010003732395367757,0.0,0.27520184556701377,0.38520078598965274,0.3185267250715548,0.5029119395245849,0.0008143322475570033,1.0,1.522883506577326,1.0,1.0,1.0,1.0,1.078033972286315,0.0,0.0,0.0033566496836215853,0.00293467811945941,2.013997622617705,0.005111786440545315,0.0044691729052380984,2.013997622617705,1.8682889010471018,0.0,0.0,0.0,0.0,0.0
method_quality.v1,of_farneback__robust_ossm_ekf,39_2,1240,False,,39_2_1.npz,manifest,1,0.25,0.6690178630036976,0.004460903199095319,0.0,0.2928735725180699,0.33918952014884646,0.32526345629322917,0.4661208873062822,0.0008064516129032258,1.0,1.5564597877843327,1.0,1.0,1.0,1.0,1.0684893447681467,0.008064516129032258,0.0,0.005511064856759256,0.003987645027878795,0.06023800580642097,0.008577750837417207,0.0062066091338514795,0.06023800580642097,0.05639345220017775,0.0,0.0,0.0,0.0,0.0
method_quality.v1,dof__robust_ossm_ekf,39_2,1240,False,,39_2_1.npz,manifest,1,0.25,0.6690178630036976,0.004460903199095319,0.0,0.2928735725180699,0.196269012806933,0.3179713876586495,0.42607184760678496,0.0024193548387096775,1.5836248825721098,1.5564597877843327,0.5987154205294126,0.5549486863070603,0.5335578285245076,0.28867573288594867,1.0719127517587443,0.012096774193548387,0.0,0.003486028580651618,0.0013145954245736768,1.5580697213841708,0.005425863304851136,0.0020461149155541996,2.4673979795661674,2.3047971894666017,0.0,0.0,0.0,0.0,0.0
method_quality.v1,profile1d_linear__robust_ossm_ekf,39_2,1240,False,,39_2_1.npz,manifest,1,0.25,0.6690178630036976,0.004460903199095319,0.0,0.2928735725180699,0.3892653650095456,0.312367407854802,0.5013366353685644,0.0,1.0,1.5564597877843327,1.0,1.0,1.0,1.0,1.0794678264393813,0.0,0.0,0.0035157691192182383,0.003161991598883199,2.092539567710866,0.0054721532571971295,0.004921512772973586,2.092539567710866,1.9385358377011013,0.0,0.0,0.0,0.0,0.0
method_quality.v1,profile1d_quadratic__robust_ossm_ekf,39_2,1240,False,,39_2_1.npz,manifest,1,0.25,0.6690178630036976,0.004460903199095319,0.0,0.2928735725180699,0.3706592483849083,0.285885470228301,0.49176640041378444,0.004838709677419355,1.0,1.5564597877843327,1.0,1.0,1.0,1.0,1.0772108288001707,0.0,0.0,0.0037175683977975697,0.003450276282567957,2.1921484420044766,0.005786245719509746,0.005370216290563038,2.1921484420044766,2.0351036600727017,0.0,0.0,0.0,0.0,0.0
method_quality.v1,profile1d_cubic__robust_ossm_ekf,39_2,1240,False,,39_2_1.npz,manifest,1,0.25,0.6690178630036976,0.004460903199095319,0.0,0.2928735725180699,0.3849056869348949,0.287215762568321,0.496643392585422,0.007258064516129033,1.0,1.5564597877843327,1.0,1.0,1.0,1.0,1.0769604354985132,0.0,0.0,0.0037299071355506594,0.0034679030507866583,2.1982388888407693,0.005805450468654449,0.005397651646484042,2.1982388888407693,2.041249015449335,0.0,0.0,0.0,0.0,0.0
