method,trial,n_frames,kurtosis,t_aic_delta,t_fit_nu,hill_alpha,shapiro_pval,nis_mean,lambda_mean,lambda_lt1_frac,lambda_low_frac,fail_total
of_farneback__robust_ossm_ekf,26_0,1230,29.00793227431314,1179.1955031115308,2.0735226467943666,1.5394949457851423,6.64902001054592e-44,1.1994717695742865,1.1475651177241966,0.11544715447154472,0.01707317073170732,0.3829268292682927
of_farneback__robust_ossm_ekf,26_1,1227,24.063797740836584,591.931921147835,2.4615212464793577,2.6736451582307006,3.735202170735263e-36,0.6492623057465351,1.1526337330703282,0.1328443357783211,0.006519967400162999,0.6275468622656887
of_farneback__robust_ossm_ekf,26_2,1249,42.285313538909946,1930.13029841368,1.872001715645715,1.1334149767356463,3.5613842208928594e-50,1.1799161945990086,1.1790023696489167,0.06405124099279423,0.01921537229783827,0.4843875100080064
of_farneback__robust_ossm_ekf,26_3,1227,45.42144607558211,1415.8790107905274,2.2894651929891423,1.8020007617799367,1.47035606787265e-47,1.055433007306214,1.1678847136218442,0.08557457212713937,0.012224938875305624,0.3561532192339038
of_farneback__robust_ossm_ekf,27_0,1227,0.6317327067613916,15.299511813795334,9.78245743793321,3.8964004912410415,1.7785987722955475e-08,0.2088450383456352,1.1920928594206441,0.037489812550937245,0.0,0.08638956805215973
of_farneback__robust_ossm_ekf,27_1,1240,-0.13231167060513682,-2.9913236920122017,100.58373736816522,4.489904632742581,0.019502638897948905,0.20818053014414517,1.189424029844804,0.02903225806451613,0.0,0.004032258064516129
of_farneback__robust_ossm_ekf,27_2,1232,0.5637108580207117,5.518093809757602,19.49219528045505,4.8448010475584695,2.2444476678782378e-07,0.25455644795786403,1.1798191107576648,0.03814935064935065,0.0,0.11444805194805195
of_farneback__robust_ossm_ekf,27_3,1235,1.9303379708773116,56.77446082549841,6.808923442752256,3.510290497989773,1.7068249366064323e-12,0.19386272956853418,1.196522820440383,0.03076923076923077,0.0,0.045344129554655874
of_farneback__robust_ossm_ekf,28_0,1254,1.4927688069460165,40.90089270822091,7.437861760884839,3.7176917517824752,1.2451424681877465e-09,0.33490608948258294,1.164772291840847,0.08771929824561403,0.0,0.11642743221690591
of_farneback__robust_ossm_ekf,28_1,1220,4.410546133612112,252.93490735969544,2.834694031871126,2.4615205166969707,5.162819361326897e-23,0.2675413908506348,1.18698331548472,0.06147540983606557,0.0,0.03934426229508197
of_farneback__robust_ossm_ekf,28_2,1240,24.73743178732241,496.9737520848703,3.3879416903573465,3.0686635941839544,2.1687125616924685e-35,0.6430847228232779,1.148780292886232,0.13064516129032258,0.00564516129032258,0.03387096774193549
of_farneback__robust_ossm_ekf,28_3,1237,11.963000937553879,225.64761573492433,5.021175717984077,3.727899769794754,4.9748992400578306e-27,0.6498048493903562,1.1269046345044336,0.16895715440582054,0.004042037186742118,0.2837510105092967
of_farneback__robust_ossm_ekf,29_0,2154,-0.23467691705984706,-4.551317512238711,109.89676683614587,4.058996480385948,4.5208109784295976e-17,0.4807747893978389,1.1333841946547514,0.12349117920148561,0.0,0.0403899721448468
of_farneback__robust_ossm_ekf,29_1,1225,-0.34337257709665714,-3.982995716856294,111.5944766656193,3.710903611467076,3.9057818821213124e-11,0.5169461249512383,1.1272512003969153,0.13714285714285715,0.0,0.07591836734693877
of_farneback__robust_ossm_ekf,29_2,1226,5.4602675972843,145.72276833023034,5.907807106542371,3.017454310720205,3.628517568986395e-24,0.6008035546596093,1.1329830757108343,0.13376835236541598,0.004893964110929853,0.0367047308319739
of_farneback__robust_ossm_ekf,29_3,1310,0.44787708872701515,6.048667055432588,16.00918765288253,3.832478107887283,0.0006407758774724011,0.2887834520273659,1.1726073690380878,0.06030534351145038,0.0,0.08244274809160305
of_farneback__robust_ossm_ekf,2_0,1208,7.5799363632233785,384.71795560299097,2.687916092603473,2.2061916686766136,8.746706496074828e-29,0.5219148935574032,1.156168282026235,0.09933774834437085,0.004966887417218543,0.14817880794701987
of_farneback__robust_ossm_ekf,2_1,1208,45.38240232637124,1422.208350657752,2.446461255933853,1.525999021728384,1.7479104409621958e-47,1.4265429491938866,1.1504262777992371,0.08526490066225166,0.018211920529801324,0.1564569536423841
of_farneback__robust_ossm_ekf,2_2,1208,15.28212283873209,472.6552139163109,2.907372585187097,2.1234626663538063,3.2167401852431536e-33,0.6350534074346835,1.151129456178077,0.10927152317880795,0.0074503311258278145,0.18294701986754966
of_farneback__robust_ossm_ekf,2_3,1209,7.538956560060662,473.19849823635104,2.5471395849706564,1.8504793427131343,1.0304228482546303e-30,0.48909850151519535,1.165268550900965,0.08354011579818031,0.0016542597187758478,0.2572373862696443
of_farneback__robust_ossm_ekf,30_0,1231,1.7775797371408428,60.135011288725536,6.552817774867869,3.017876119841424,5.408143474416188e-12,0.16810745777929062,1.2023415808535685,0.026807473598700244,0.0,0.13160032493907392
of_farneback__robust_ossm_ekf,30_1,1213,0.10407711493699034,-1.2440932961958424,40.884847862199635,4.166144893986477,3.940774444662497e-05,0.14445517941176939,1.206141796683836,0.01236603462489695,0.0,0.04699093157460841
of_farneback__robust_ossm_ekf,30_2,1232,-0.10464812780127408,-2.817222683242676,100.09887577226375,4.796179532678651,0.00015735095072392092,0.10215028926739383,1.217119355463686,0.0008116883116883117,0.0,0.3522727272727273
of_farneback__robust_ossm_ekf,30_3,1229,-0.25601390313037786,-3.650101425500452,100.25107002607994,6.515803801142096,5.38344943602902e-07,0.11058285755317218,1.2147206067977752,0.0008136696501220504,0.0,0.07323026851098453
of_farneback__robust_ossm_ekf,31_0,1245,-0.14568909412668907,-3.02013068802853,100.01957263739297,4.450453849858109,0.01760692409364855,0.3078432720616432,1.1676817141336033,0.07309236947791165,0.0,0.1742971887550201
of_farneback__robust_ossm_ekf,31_1,1246,-0.4940576816834441,-4.619306336687714,124.91623568112858,5.8080920908449,9.460386208720107e-11,0.17457487970713875,1.1962829708033034,0.0072231139646869984,0.0,0.0
of_farneback__robust_ossm_ekf,31_2,1251,2.140384304339074,64.9068889455134,6.267061950105915,3.5434059970245624,1.8425212701695897e-14,0.3163577933736516,1.1718473998618568,0.06554756195043965,0.0,0.07673860911270983
of_farneback__robust_ossm_ekf,31_3,1245,2.2190483812381423,116.40799357039805,4.119275164345029,3.131706443051332,8.369792027888203e-17,0.7803772931712045,1.1092382499934725,0.236144578313253,0.001606425702811245,0.18072289156626506
of_farneback__robust_ossm_ekf,32_0,1217,2.7914245095737815,296.93775475861423,2.135253219259513,2.427357043326167,5.529201688068307e-24,0.12029319180446707,1.2160323212665405,0.02629416598192276,0.0,0.021364009860312245
of_farneback__robust_ossm_ekf,32_1,1216,10.023399087532978,1249.9095801626554,1.1,1.8320418886914054,4.259001732277864e-39,0.001470324311043548,1.2494768953442723,0.0,0.0,0.3996710526315789
of_farneback__robust_ossm_ekf,32_2,1240,2.8479339656490614,524.7224329579753,1.1220746716767223,2.714398174704986,8.257759631940833e-30,0.01685373259888189,1.2442142544717953,0.0,0.0,0.29838709677419356
of_farneback__robust_ossm_ekf,32_3,1240,2.6243180751544344,311.7057374885135,1.8545489955691787,3.0400663226936824,1.7765924284319338e-23,0.0451530063517406,1.235317811822183,0.0,0.0,0.050806451612903224
of_farneback__robust_ossm_ekf,33_0,1216,0.3207703008858336,0.958049751186536,30.1405072158783,4.032569742498801,2.3613128597787837e-05,0.3904701641357414,1.1530114295298937,0.1069078947368421,0.0,0.08717105263157894
of_farneback__robust_ossm_ekf,33_1,1239,2.0985954865380663,96.99161363888015,4.843321768228678,3.895380462308187,1.947230550556274e-18,0.43254673483788136,1.147997971409776,0.13155770782889428,0.0,0.22760290556900725
of_farneback__robust_ossm_ekf,33_2,1233,0.017102055287807616,-2.3369767351796327,76.63525476208743,5.383560279180704,1.234125838465051e-06,0.5086774277615538,1.1303361872852082,0.16707218167072183,0.0,0.08921330089213302
of_farneback__robust_ossm_ekf,33_3,1219,4.5312836928929805,243.25650856882748,3.4237912734505342,2.192615453224624,7.225471049436612e-26,0.3706318851105447,1.1694248478279756,0.0771123872026251,0.0,0.06152584085315833
of_farneback__robust_ossm_ekf,34_0,1224,15.62718687660795,479.3853507965784,3.507795643898878,2.3260242768033565,7.68143679416352e-36,0.05151363918488693,1.2358372307724288,0.00980392156862745,0.0,0.0
of_farneback__robust_ossm_ekf,34_1,1225,5.666402591527717,459.9777388919965,1.9121928705528441,2.07705560697846,1.3396911975362038e-30,0.25403236124451317,1.1950219528712855,0.053061224489795916,0.0,0.04244897959183674
of_farneback__robust_ossm_ekf,34_2,1218,4.435552712346127,95.84551125377538,6.48632940902924,2.893525833341632,3.4117563930103773e-20,0.09614201328187616,1.2212403256514994,0.012315270935960592,0.0,0.0
of_farneback__robust_ossm_ekf,34_3,1222,2.750958379863415,61.431278630123984,7.346996826090428,3.5143254537818565,2.3721044845450023e-16,0.12341165798759698,1.2134045981159294,0.012274959083469721,0.0,0.02127659574468085
of_farneback__robust_ossm_ekf,35_0,1235,8.09132646345553,364.3907511788784,3.1405570512736682,2.3408856363697823,1.8687879465375877e-29,0.5381315256484805,1.1568464679921233,0.10364372469635627,0.006477732793522267,0.19838056680161945
of_farneback__robust_ossm_ekf,35_1,1224,3.130512988195398,276.4074704971423,2.311445420456848,2.3476306908948223,5.664171898370891e-24,0.15789022245990847,1.2081741887264263,0.0392156862745098,0.0,0.035130718954248366
of_farneback__robust_ossm_ekf,35_2,1227,0.4523099188493256,8.028718720504003,12.676916052087966,4.349477279455531,2.826708396001622e-05,0.32458732928021444,1.1657580413304276,0.07742461287693561,0.0,0.15973920130399347
of_farneback__robust_ossm_ekf,35_3,1228,40.05480302874383,773.9216465434492,3.2025402993318197,2.404188790480034,1.0225266994642777e-41,0.5728754955069585,1.1723688219280426,0.07573289902280131,0.007328990228013029,0.1498371335504886
of_farneback__robust_ossm_ekf,36_0,1233,1.700065872987067,87.83455113703803,4.683474416522872,2.1787520439387595,4.9004474526390096e-18,0.6030994867490052,1.1328398508334194,0.12489862124898621,0.0,0.28629359286293593
of_farneback__robust_ossm_ekf,36_1,1214,0.6359572766588508,14.473319528353386,10.27027844279402,3.892074388249829,8.404779428376218e-13,0.5748498483660193,1.1258871264649575,0.15485996705107083,0.0,0.3031301482701812
of_farneback__robust_ossm_ekf,36_2,1220,3.664259244697189,145.27493368422938,3.790426335104198,3.1690964773926926,4.9124956133912386e-21,0.35201890084215315,1.1700131221848498,0.0860655737704918,0.0,0.3442622950819672
of_farneback__robust_ossm_ekf,36_3,1225,0.6509320795714437,19.897214000545773,7.564727862991179,5.047117792637888,1.7294688102435938e-09,0.22248561605652561,1.1884664319262752,0.03836734693877551,0.0,0.5395918367346939
of_farneback__robust_ossm_ekf,37_0,1209,10.55297705525883,330.27387911750475,3.241333714381648,2.643008483684005,2.689549586989063e-29,0.5163728717576008,1.1571064514736153,0.11000827129859388,0.006617038875103391,0.44499586435070304
of_farneback__robust_ossm_ekf,37_1,1211,0.9949784202524632,18.04355714150688,11.691498096176842,4.258367807410869,4.927815269266303e-10,0.2863208211105025,1.1746286138286486,0.04706853839801817,0.0,0.4731626754748142
of_farneback__robust_ossm_ekf,37_2,1211,3.1615669916559064,66.65754735907558,7.394533984104805,3.1429718500044967,7.367444893792969e-17,0.4226293190947013,1.1529814388354045,0.09744013212221304,0.0016515276630883566,0.4310487200660611
of_farneback__robust_ossm_ekf,37_3,1210,34.5909535011925,718.1345899951762,3.4515956103979857,2.2449259495719023,2.161869791142127e-40,0.5935241498186511,1.168104400460871,0.0743801652892562,0.006611570247933884,0.5165289256198347
of_farneback__robust_ossm_ekf,38_0,1233,3.8600370331129827,127.08174333984198,5.621130391777375,2.6828878221802994,4.836507633937493e-20,0.26344246743002725,1.1851127530866497,0.042984590429845905,0.0,0.038118410381184104
of_farneback__robust_ossm_ekf,38_1,1230,2.3808935752854232,124.32728454832409,3.916760322558133,3.0908773969293386,1.9669527370709417e-17,0.16439626705813387,1.204323189530783,0.03333333333333333,0.0,0.022764227642276424
of_farneback__robust_ossm_ekf,38_2,1184,3.3915394095226397,181.0407844915651,3.6529512851717563,2.2400605843899064,3.887929288902795e-23,0.21917932734362217,1.195293600391344,0.048986486486486486,0.0,0.010135135135135136
of_farneback__robust_ossm_ekf,38_3,1221,0.9683528685561544,18.279877970855296,11.942080411999232,3.330027310092469,2.0887268220443505e-11,0.2592343822265497,1.1805945846064925,0.04176904176904177,0.0,0.03357903357903358
of_farneback__robust_ossm_ekf,39_0,1223,-0.1351099476981985,-2.991994707560707,99.99991572578287,4.855503005906531,0.0003760454245541261,0.18694306710913736,1.1944244205942356,0.017170891251022075,0.0,0.03515944399018806
of_farneback__robust_ossm_ekf,39_1,1228,-0.2679376771079083,-3.5745843047617427,109.27766998887948,5.9707077527260894,0.0009419761457381964,0.13499114485465843,1.2079863170009388,0.0008143322475570033,0.0,0.005700325732899023
of_farneback__robust_ossm_ekf,39_2,1240,-0.38544759406126117,-4.0839004088586535,117.6455596061495,6.244425699529193,3.4243931220790445e-05,0.29070046779050246,1.1697311194798323,0.06451612903225806,0.0,0.1435483870967742
of_farneback__robust_ossm_ekf,39_3,1269,-0.09449922063844474,-2.7262333896185282,99.26432468089368,4.951453332112511,6.26029262700951e-08,0.28171320532045696,1.1723719948801863,0.06461780929866036,0.0,0.13869188337273444
